Business_ID,Name,Address,City,Latitude,Longitude,Grade
PR0087461,PECOS PIT BBQ- COMMISSARY - FT #2 KC646,7681 S 180TH ST,KENT,47.44037,-122.23694,1
PR0042761,THAI GOLDEN BOWL,14130 JUANITA DR NE #109,KIRKLAND,47.729461,-122.243344,2
PR0083244,LEE'S KITCHEN U DUB,4106 BROOKLYN AVE NE,SEATTLE,47.65714735,-122.31404184,3
PR0067362,KITANDA SHORELINE,20121 AURORA AVE N STE A,SHORELINE,47.7750885415,-122.3462848977,2
PR0091580,BUFFALO WILD WINGS GO,25246 PACIFIC HWY S STE 105,KENT,,,1
PR0072364,NEW CHINA EXPRESS,2809 THORNDYKE AVE W #A,SEATTLE,47.6452901232,-122.383121954,2
PR0083780,PHO EVER,12015 NE 8TH ST STE 6,BELLEVUE,47.616961,-122.179296,3
PR0006269,EL TOREADOR,7845 LEARY WAY,REDMOND,47.6737978023,-122.123191065,1
PR0005181,BASKIN-ROBBINS,520 RAINIER AVE S,RENTON,47.475892,-122.214473,1
PR0086207,ANTOJITOS MICHELISCO,801 C ST SW,AUBURN,47.30066702,-122.23275445,2
PR0004360,LA FAMILIA,22855 PACIFIC HWY S ,DES MOINES,47.3956184536,-122.2955014645,2
PR0082083,"MOLLY MOON'S HOMEMADE ICE CREAM, LLC",1408 34TH AVE,SEATTLE,47.61320293,-122.28911378,1
PR0023825,COLUMBIA ATHLETIC CLUB,11450 98TH AVE NE ,Kirkland,47.7034688588,-122.2097786233,1
PR0087877,THE CRAWFISH HUT,15706 1ST AVE S,BURIEN,47.4622416,-122.33252894,2
PR0085111,BURIEN FISH HOUSE,133 SW 153RD ST,BURIEN,47.46566608,-122.33527679,1
PR0048883,OUTLIER,1101 4TH AVE ,Seattle,47.6069484946,-122.3341402972,2
PR0031756,TASTE OF EUROPE,26011 104TH AVE SE ,KENT,47.3686362623,-122.2027709422,1
PR0076460,ACT 3 CATERING,15665 NELSON PL,TUKWILA,47.46160891,-122.2435146889,1
PR0091381,SHUG'S MINI,3800A CALIFORNIA AVE W,SEATTLE,,,3
PR0067547,CEMITAS POBLANAS,805 S 112TH ST,SEATTLE,47.5032124499,-122.3227936092,2
PR0006861,COFFEE & CONE,1 LAKESHORE PLZ ,Kirkland,47.675572321,-122.2070855663,1
PR0080493,AMAZON FIONA CAFE,500 BOREN AVE N,SEATTLE,47.62356747,-122.33550177,1
PR0086111,PAGLIACCI PIZZA INC,3077 78TH AVE SE,MERCER ISLAND,47.58206975,-122.23400379,1
PR0086554,METIER BREWING COMPANY,14125 NE 189th ST STE #B,WOODINVILLE,47.76374032,-122.15064995,1
PR0082884,DAIRY QUEEN/ORANGE JULIUS,1101 OUTLET COLLECTION WAY 1175,AUBURN,47.29612,-122.24736,1
PR0084480,METROPOLITAN DELI,1255 REPUBLICAN ST,SEATTLE,47.62267495,-122.33135009,2
PR0003294,MAXIMILIEN IN THE MARKET,81 PIKE ST ,SEATTLE,47.6082871596,-122.3407640327,1
PR0055432,"PLATEAU CLUB, THE",25625 E PLATEAU DR ,SAMMAMISH,47.609553,-121.996812,1
PR0005578,TIM'S KITCHEN ENUMCLAW,1110 GRIFFIN AVE ,ENUMCLAW,47.2031678115,-121.9892561943,2
PR0089448,COSMIC BOTTLES,27116 167TH PL SE 1087,COVINGTON,47.35859593,-122.11736129,2
PR0068950,I LOVE PHO,3900 FACTORIA BL SE #C,BELLEVUE,47.5754366976,-122.1685999696,2
PR0011107,RIVERSIDE TAVERN,33729 SE REDMOND FALL CITY RD,FALL CITY,47.567442,-121.88911,1
PR0003048,G.H PASTA & PIZZA WEST SEATTLE,7500 35TH AVE SW,SEATTLE,47.5354159879,-122.3760131158,1
PR0011344,CITY HALL SALOON,35317 314TH WAY SE ,ENUMCLAW,47.2834232033,-121.9259583736,2
PR0070126,BAD BAR,819 5TH AVE N,SEATTLE,47.6269078745,-122.3477040612,1
PR0086086,CAIRDEAS WINERY,3861 1ST AVE S #E,SEATTLE,47.56715767,-122.33470938,2
PR0087441,THE COLLECTIVE - CREST,400 DEXTER AVE N,SEATTLE,47.62219946,-122.34205922,1
PR0076500,APPLE TERIYAKI,11523 AVONDALE RD NE STE 107,REDMOND,47.7027892742,-122.0935946097,2
PR0087052,AMAZON DAY 1 CAFE,2121 7TH AVE,SEATTLE,47.61598921,-122.33951724,1
PR0072100,CAFFE LADRO,1200 10TH AVE NE ,ISSAQUAH,47.5434809444,-122.015984713,1
PR0077857,LA CHATA,27115 185TH ST SE,COVINGTON,47.35842,-122.09664,2
PR0001827,RICKSHAW RESTAURANT,322 N 105TH ST ,Seattle,47.7052675871,-122.3544803026,2
PR0077066,YALLA,1510 E OLIVE WAY ,SEATTLE,47.6182499302,-122.3260879735,1
PR0006180,CENTRAL PARK TENNIS CLUB,12630 NE 59TH ST,KIRKLAND,47.65997265,-122.17131532,1
PR0086964,SAFFRON SPICE,1901 RAINIER AVE S #2,SEATTLE,47.58620968,-122.30450638,2
PR0083283,RAM RESTAURANT & BREWHOUSE,965 NE PARK DR,ISSAQUAH,47.54294618,-122.01703302,2
PR0016577,KATSU BURGER,12700 SE 38TH ST ,Bellevue,47.5770283728,-122.1704257798,2
PR0026460,WESTLAKE DELI & GROCERY,2132 WESTLAKE AVE N ,Seattle,47.6386498608,-122.3405722931,2
PR0087866,LARKSPUR LANDING,1701 E VALLEY RD,RENTON,47.46424,-122.21946,1
PR0005633,MELROSE GRILL,819 HOUSER WAY S ,RENTON,47.4785336862,-122.2062928205,1
PR0012722,BEAR CREEK GOLF COURSE #431,13737 202ND AVE NE ,Woodinville,47.7227711245,-122.0665279484,2
PR0006405,PUB 85,12859 NE 85TH ST,KIRKLAND,47.6791269136,-122.1670778425,2
PR0086792,NUTTY SQUIRREL GELATO,2425 33RD AVE W #B,SEATTLE,47.6403636,-122.39991669,1
PR0085069,HONG KONG DIM SUM,13200 AURORA AVE N STE F,SEATTLE,47.72503653,-122.34360478,3
PR0089667,SHAH'S DELI & MART,26032 PACIFIC HWY S,KENT,47.36787247,-122.30238725,3
PR0089343,85 C BAKERY CAFE- BELLEVUE,14701 NE 20TH ST,BELLEVUE,47.62758161,-122.14397814,2
PR0082704,KIZUKI RAMEN & IZAKAYA,14845 MAIN ST,BELLEVUE,47.60953748,-122.14168161,2
PR0070122,HIMITSU TERIYAKI,8014 LAKE CITY WAY NE #E,SEATTLE,47.6867935711,-122.3124577733,3
PR0088343,HEART OF CHINA,11000 NE 10TH ST STE B,BELLEVUE,47.61951,-122.19285,2
PR0080028,JUICY CAFE @ WASHINGTON CONVENTION CRT,725 PIKE ST,SEATTLE,47.61195649,-122.33172807,2
PR0001170,BURGER KING #3218,13241 AURORA AVE N ,SEATTLE,47.7246596468,-122.3459591925,1
PR0066729,MARLI HYANG,31217 PACIFIC HWY S B102,FEDERAL WAY,47.3219667765,-122.3152554577,2
PR0083915,LITTLE CEASARS PIZZA,2500 SW 336TH ST #E,FEDERAL WAY,47.30106347,-122.36532388,2
PR0090607,ARENA SPORTS ISSAQUAH,2115 NW POPLAR WAY,ISSAQUAH,47.55094856,-122.07048506,1
PR0076441,POST PIKE GEORGETOWN,5701 AIRPORT WAY S ,SEATTLE,47.5512018677,-122.3190353017,1
PR0090296,PIKE STREET COFFEE,1501 WESTERN AVE Ste 300,SEATTLE,47.60832074,-122.34152058,1
PR0084329,FREMONT BREWING COMPANY,3409 Woodland Park AVE N,SEATTLE,47.64919038,-122.34437752,1
PR0087746,HABIT BURGER,907 NW BALLARD WAY #B120,SEATTLE,47.66259258,-122.369415,2
PR0087530,MOMOYA SUSHI & BENTO,241 SUNSET BL N,RENTON,47.48613,-122.19615,1
PR0004620,CLASSIC EATS,918 SW 152ND ST,Seattle,47.467021655,-122.3464625778,2
PR0091207,MALAK ICE CREAM,323 N 105th ST,Seattle,,,1
PR0086249,GOSANKO CHOCOLATE,1 E MAIN ST #170,AUBURN,47.30792431,-122.22916379,1
PR0085023,MCMENAMINS,18607 BOTHELL WAY NE,BOTHELL,47.7636381343,-122.208412389,1
PR0003007,"SEATTLE EAGLE, THE",314 E PIKE ST ,SEATTLE,47.6143258785,-122.3271768152,1
PR0081754,TAQUERIA EL TACO MAESTRO 2 LLC,2824 AUBURN WAY N,AUBURN,47.33292527,-122.22071524,2
PR0008793,ETTA'S SEAFOOD,2020 WESTERN AVE ,Seattle,47.6108090135,-122.3437724236,1
PR0008608,SAFEWAY INC #555,630 228TH AVE NE ,SAMMAMISH,47.6152649326,-122.0338128227,1
PR0084870,AMAZON BRAZIL,400 9TH AVE N,SEATTLE,47.62267008,-122.33938542,1
PR0005141,GARCIA'S MEXICAN RESTAURANT,321 AUBURN WAY N ,Auburn,47.3103906851,-122.2263842254,2
PR0091460,CREPERITO,11130 NE 10TH ST STE 201,BELLEVUE,,,1
PR0068048,RAINIER AMPM,251 RAINIER AVE N,RENTON,47.4851102535,-122.2184114978,1
PR0002690,UMAI SUSHI & TERIYAKI,91 PIKE ST ,Seattle,47.6086568333,-122.3402044743,2
PR0086109,BAR HARBOR,400 FAIRVIEW AVE N,SEATTLE,47.62251234,-122.3339003,1
PR0020356,SUBWAY SANDWICH STORE #4916,15500 1ST AVE S,BURIEN,47.4637900964,-122.3332064027,2
PR0088748,CAFE HAGEN,1252 THOMAS ST,SEATTLE,47.62100968,-122.33132821,2
PR0090575,"BIZARRE BREWING, LLC",4441 26th AVE W STE A,SEATTLE,47.6605844,-122.39029902,1
PR0067712,"LA FOGATA MAPLE VALLEY, INC.",23745 225th WAY SE ,MAPLE VALLEY,47.3881832603,-122.0427162022,2
PR0077560,MACRINA BAKERY & CAFE,1943 1ST AVE S,SEATTLE,47.584617,-122.334693,1
PR0088676,JUST POKE,13228 SE 30TH ST C 6,BELLEVUE,47.58543,-122.16314,2
